	collagen	mean	lower	upper	type	time_min
121	loose	25.4142205908433	24.9339698879446	25.894471293742	target	0.5
122	loose	79.8499113991946	78.4645412503877	81.2352815480014	target	1
123	loose	157.447747337116	154.791515276062	160.103979398169	target	1.5
124	loose	255.82822610206	251.563130655322	260.093321548798	target	2
125	loose	372.875297208673	366.700045602622	379.050548814725	target	2.5
126	loose	506.148666797835	497.784459388788	514.512874206883	target	3
127	loose	653.597676386378	642.762991747991	664.432361024766	target	3.5
128	loose	813.41674304152	799.840610344873	826.992875738167	target	4
129	loose	982.500019214208	965.956451279875	999.043587148542	target	4.5
130	loose	1159.8472900243	1140.13791911314	1179.55666093546	target	5
131	loose	1344.36419147134	1321.35242243313	1367.37596050955	target	5.5
132	loose	1535.03516066188	1508.57574981908	1561.49457150468	target	6
133	loose	1732.04388686348	1701.95843322885	1762.1293404981	target	6.5
134	loose	1932.55096135988	1898.74263035651	1966.35929236326	target	7
135	loose	2136.32383293742	2098.69821623208	2173.94944964277	target	7.5
136	loose	2341.6800641242	2300.15129953535	2383.20882871305	target	8
137	loose	2547.61719464235	2502.13326469166	2593.10112459304	target	8.5
138	loose	2755.07415842212	2705.58086243923	2804.56745440501	target	9
139	loose	2963.59617816655	2909.9711593262	3017.22119700689	target	9.5
140	loose	3176.07058858172	3118.18358762186	3233.95758954158	target	10
141	loose	3390.49239147024	3328.24228740714	3452.74249553334	target	10.5
142	loose	3607.41632266196	3540.72925826994	3674.10338705398	target	11
143	loose	3827.231261359	3756.01331200171	3898.4492107163	target	11.5
144	loose	4046.98654325828	3971.15598218407	4122.81710433249	target	12
145	loose	4268.98048395125	4188.34227274357	4349.61869515893	target	12.5
146	loose	4491.66374256005	4406.05960988897	4577.26787523113	target	13
147	loose	4715.69677497752	4624.92832426147	4806.46522569357	target	13.5
148	loose	4940.47500723715	4844.41126482961	5036.5387496447	target	14
149	loose	5163.36637924172	5061.87498488501	5264.85777359843	target	14.5
150	loose	5395.00221529143	5287.64297732369	5502.36145325916	target	15
151	loose	5624.51689927397	5511.14958242631	5737.88421612163	target	15.5
152	loose	5855.21644490653	5735.60875619185	5974.82413362121	target	16
153	loose	6085.83225906017	5959.79399521441	6211.87052290594	target	16.5
154	loose	6314.84928053615	6182.22889923377	6447.46966183853	target	17
155	loose	6542.81155850988	6403.42838349979	6682.19473351998	target	17.5
