observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	summaryStatistics
condition1__YAP_nuclear_observable	condition1	1	0			
condition1__YAP_nuclear_observable	condition1	1	0			
condition1__YAP_nuclear_observable	condition1	1	0			
condition1__YAP_nuclear_observable	condition1	1	0			
condition1__YAP_nuclear_observable	condition1	1	0			
condition1__YAP_nuclear_observable	condition1	1	0			
condition1__YAP_nuclear_observable	condition1	1	0			
condition1__YAP_nuclear_observable	condition1	1	0			
condition1__YAP_nuclear_observable	condition1	1	0			
condition1__YAP_nuclear_observable	condition1	1	0			
condition1__YAP_nuclear_observable	condition1	1.06316	0.8			
condition1__YAP_nuclear_observable	condition1	1.174304	0.8			
condition1__YAP_nuclear_observable	condition1	1.27876	0.8			
condition1__YAP_nuclear_observable	condition1	1.410496	0.8			
condition1__YAP_nuclear_observable	condition1	1.496929	0.8			
condition1__YAP_nuclear_observable	condition1	1.636696	0.8			
condition1__YAP_nuclear_observable	condition1	1.60042	0.8			
condition1__YAP_nuclear_observable	condition1	1.454974	0.8			
condition1__YAP_nuclear_observable	condition1	1.487127	0.8			
condition1__YAP_nuclear_observable	condition1	1.347551	0.8			
condition1__YAP_nuclear_observable	condition1	1.209071	1.5			
condition1__YAP_nuclear_observable	condition1	1.28976	1.5			
condition1__YAP_nuclear_observable	condition1	1.520645	1.5			
condition1__YAP_nuclear_observable	condition1	1.517181	1.5			
condition1__YAP_nuclear_observable	condition1	1.55356	1.5			
condition1__YAP_nuclear_observable	condition1	1.649132	1.5			
condition1__YAP_nuclear_observable	condition1	1.731132	1.5			
condition1__YAP_nuclear_observable	condition1	1.60413	1.5			
condition1__YAP_nuclear_observable	condition1	1.56927	1.5			
condition1__YAP_nuclear_observable	condition1	1.381957	1.5			
condition1__YAP_nuclear_observable	condition1	1.102287	2			
condition1__YAP_nuclear_observable	condition1	1.239916	2			
condition1__YAP_nuclear_observable	condition1	1.365445	2			
condition1__YAP_nuclear_observable	condition1	1.51172	2			
condition1__YAP_nuclear_observable	condition1	1.581315	2			
condition1__YAP_nuclear_observable	condition1	1.714429	2			
condition1__YAP_nuclear_observable	condition1	1.754233	2			
condition1__YAP_nuclear_observable	condition1	1.62836	2			
condition1__YAP_nuclear_observable	condition1	1.617638	2			
condition1__YAP_nuclear_observable	condition1	1.501248	2			
condition1__YAP_nuclear_observable	condition1	0.936666	3			
condition1__YAP_nuclear_observable	condition1	1.004675	3			
condition1__YAP_nuclear_observable	condition1	1.098926	3			
condition1__YAP_nuclear_observable	condition1	1.202815	3			
condition1__YAP_nuclear_observable	condition1	1.256231	3			
condition1__YAP_nuclear_observable	condition1	1.31515	3			
condition1__YAP_nuclear_observable	condition1	1.349312	3			
condition1__YAP_nuclear_observable	condition1	1.224346	3			
condition1__YAP_nuclear_observable	condition1	1.14507	3			
condition1__YAP_nuclear_observable	condition1	1.065278	3			
condition1__YAP_nuclear_observable	condition1	0.725085	5			
condition1__YAP_nuclear_observable	condition1	0.814514	5			
condition1__YAP_nuclear_observable	condition1	0.817781	5			
condition1__YAP_nuclear_observable	condition1	0.946491	5			
condition1__YAP_nuclear_observable	condition1	0.993993	5			
condition1__YAP_nuclear_observable	condition1	1.071735	5			
condition1__YAP_nuclear_observable	condition1	1.119022	5			
condition1__YAP_nuclear_observable	condition1	0.989987	5			
condition1__YAP_nuclear_observable	condition1	1.007928	5			
condition1__YAP_nuclear_observable	condition1	0.94257	5			
condition1__YAP_total_observable	condition1	1	0			
condition1__YAP_total_observable	condition1	1	0			
condition1__YAP_total_observable	condition1	1	0			
condition1__YAP_total_observable	condition1	1	0			
condition1__YAP_total_observable	condition1	1	0			
condition1__YAP_total_observable	condition1	1	0			
condition1__YAP_total_observable	condition1	1	0			
condition1__YAP_total_observable	condition1	1	0			
condition1__YAP_total_observable	condition1	1	0			
condition1__YAP_total_observable	condition1	1	0			
condition1__YAP_total_observable	condition1	1.165735	0.8			
condition1__YAP_total_observable	condition1	1.200471	0.8			
condition1__YAP_total_observable	condition1	1.279887	0.8			
condition1__YAP_total_observable	condition1	1.269325	0.8			
condition1__YAP_total_observable	condition1	1.304933	0.8			
condition1__YAP_total_observable	condition1	1.363516	0.8			
condition1__YAP_total_observable	condition1	1.318618	0.8			
condition1__YAP_total_observable	condition1	1.257454	0.8			
condition1__YAP_total_observable	condition1	1.203111	0.8			
condition1__YAP_total_observable	condition1	1.038124	0.8			
condition1__YAP_total_observable	condition1	1.316883	1.5			
condition1__YAP_total_observable	condition1	1.368537	1.5			
condition1__YAP_total_observable	condition1	1.424928	1.5			
condition1__YAP_total_observable	condition1	1.456038	1.5			
condition1__YAP_total_observable	condition1	1.467018	1.5			
condition1__YAP_total_observable	condition1	1.530239	1.5			
condition1__YAP_total_observable	condition1	1.560614	1.5			
condition1__YAP_total_observable	condition1	1.544043	1.5			
condition1__YAP_total_observable	condition1	1.500965	1.5			
condition1__YAP_total_observable	condition1	1.294218	1.5			
condition1__YAP_total_observable	condition1	1.246692	2			
condition1__YAP_total_observable	condition1	1.383782	2			
condition1__YAP_total_observable	condition1	1.460713	2			
condition1__YAP_total_observable	condition1	1.516818	2			
condition1__YAP_total_observable	condition1	1.54658	2			
condition1__YAP_total_observable	condition1	1.650898	2			
condition1__YAP_total_observable	condition1	1.662168	2			
condition1__YAP_total_observable	condition1	1.613539	2			
condition1__YAP_total_observable	condition1	1.5546	2			
condition1__YAP_total_observable	condition1	1.324019	2			
condition1__YAP_total_observable	condition1	1.049502	3			
condition1__YAP_total_observable	condition1	1.097537	3			
condition1__YAP_total_observable	condition1	1.135873	3			
condition1__YAP_total_observable	condition1	1.178458	3			
condition1__YAP_total_observable	condition1	1.229582	3			
condition1__YAP_total_observable	condition1	1.310968	3			
condition1__YAP_total_observable	condition1	1.297811	3			
condition1__YAP_total_observable	condition1	1.240246	3			
condition1__YAP_total_observable	condition1	1.167835	3			
condition1__YAP_total_observable	condition1	1.021649	3			
condition1__YAP_total_observable	condition1	0.788292	5			
condition1__YAP_total_observable	condition1	0.816674	5			
condition1__YAP_total_observable	condition1	0.847015	5			
condition1__YAP_total_observable	condition1	0.877469	5			
condition1__YAP_total_observable	condition1	0.925775	5			
condition1__YAP_total_observable	condition1	0.992861	5			
